% Query:
% SELECT li.name as alg_name, d.name as dataset, e.eid as id, p1.value as param5
% FROM
% dataset d,
% data_property_value dp,
% experiment e,
% learner_application la,
% learner_implementation li,
% learner_parameter_value p1
% WHERE d.did = dp.did and dp.dpid = 9 and dp.value >= 5000 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and p1.lpid = 67 and p1.laid = la.laid and
% li.name = "weka.J48"

alg_name,dataset,id,param5
weka.J48,satimage,294116,2
weka.J48,covertype,292728,4
weka.J48,kropt,294016,4
weka.J48,kropt,293978,4
weka.J48,covertype,292800,8
weka.J48,waveform-5000,290163,9
weka.J48,covertype,292586,9
weka.J48,satimage,294432,7
weka.J48,satimage,294546,6
weka.J48,waveform-5000,290028,5
weka.J48,kropt,293728,10
weka.J48,covertype,292807,2
weka.J48,kropt,293749,2
weka.J48,covertype,292429,8
weka.J48,adult,292148,9
weka.J48,adult,292273,7
weka.J48,waveform-5000,290071,6
weka.J48,satimage,294283,6
weka.J48,adult,292229,5
weka.J48,satimage,294302,5
weka.J48,covertype,292493,8
weka.J48,satimage,294428,3
weka.J48,satimage,294385,6
weka.J48,waveform-5000,290011,9
weka.J48,satimage,294401,6
weka.J48,waveform-5000,290261,3
weka.J48,adult,292381,3
weka.J48,kropt,294107,3
weka.J48,covertype,292581,7
weka.J48,kropt,294082,7
weka.J48,covertype,292514,3
weka.J48,adult,292362,6
weka.J48,covertype,292553,6
weka.J48,adult,292018,6
weka.J48,covertype,292492,9
weka.J48,satimage,294210,9
weka.J48,kropt,294088,2
weka.J48,satimage,294492,5
weka.J48,waveform-5000,290008,4
weka.J48,adult,292183,5
weka.J48,satimage,294429,5
weka.J48,covertype,292482,10
weka.J48,covertype,292570,5
weka.J48,adult,292251,2
weka.J48,waveform-5000,290194,8
weka.J48,adult,292289,9
weka.J48,kropt,294058,9
weka.J48,adult,292304,7
weka.J48,covertype,292555,7
weka.J48,satimage,294332,7
weka.J48,kropt,294064,7
weka.J48,satimage,294422,6
weka.J48,satimage,294307,6
weka.J48,satimage,294436,6
weka.J48,adult,292172,8
weka.J48,waveform-5000,289995,3
weka.J48,adult,292038,3
weka.J48,kropt,294054,5
weka.J48,covertype,292741,4
weka.J48,covertype,292799,6
weka.J48,satimage,294125,5
weka.J48,adult,292077,8
weka.J48,satimage,294191,9
weka.J48,covertype,292792,10
weka.J48,adult,292316,7
weka.J48,covertype,292694,7
weka.J48,covertype,292505,5
weka.J48,covertype,292592,6
weka.J48,waveform-5000,290083,4
weka.J48,waveform-5000,289905,8
weka.J48,covertype,292498,8
weka.J48,waveform-5000,290069,7
weka.J48,adult,292284,7
weka.J48,satimage,294368,4
weka.J48,covertype,292416,9
weka.J48,waveform-5000,290162,2
weka.J48,kropt,293685,2
weka.J48,satimage,294417,2
weka.J48,adult,292037,7
weka.J48,covertype,292765,7
weka.J48,kropt,293903,5
weka.J48,satimage,294415,5
weka.J48,kropt,293933,2
weka.J48,kropt,294030,10
weka.J48,waveform-5000,290016,7
weka.J48,adult,292255,5
weka.J48,waveform-5000,289903,4
weka.J48,kropt,293979,4
weka.J48,waveform-5000,289977,8
weka.J48,kropt,294032,8
weka.J48,waveform-5000,290205,7
weka.J48,covertype,292742,7
weka.J48,waveform-5000,289849,3
weka.J48,adult,292142,3
weka.J48,kropt,293782,2
weka.J48,covertype,292766,8
weka.J48,satimage,294511,8
weka.J48,waveform-5000,289974,6
weka.J48,satimage,294402,4
weka.J48,waveform-5000,290055,5
weka.J48,covertype,292762,5
weka.J48,waveform-5000,290058,8
weka.J48,kropt,294081,5
weka.J48,adult,292325,3
weka.J48,satimage,294359,3
weka.J48,waveform-5000,290196,8
weka.J48,kropt,293995,8
weka.J48,satimage,294370,8
weka.J48,kropt,293736,3
weka.J48,kropt,294087,10
weka.J48,satimage,294241,10
weka.J48,adult,292326,5
weka.J48,waveform-5000,290092,2
weka.J48,kropt,293855,2
weka.J48,satimage,294286,2
weka.J48,kropt,293751,2
weka.J48,kropt,294018,7
weka.J48,waveform-5000,290156,6
weka.J48,adult,292113,6
weka.J48,kropt,293697,6
weka.J48,satimage,294229,8
weka.J48,covertype,292602,8
weka.J48,adult,291970,8
weka.J48,adult,292207,8
weka.J48,covertype,292519,9
weka.J48,covertype,292693,5
weka.J48,kropt,293921,7
weka.J48,waveform-5000,290100,10
weka.J48,waveform-5000,289911,2
weka.J48,satimage,294420,2
weka.J48,kropt,294050,2
weka.J48,satimage,294374,2
weka.J48,kropt,294086,5
weka.J48,covertype,292653,3
weka.J48,kropt,293994,3
weka.J48,satimage,294467,3
weka.J48,covertype,292599,7
weka.J48,adult,292174,7
weka.J48,waveform-5000,290244,3
weka.J48,waveform-5000,290079,2
weka.J48,covertype,292609,2
weka.J48,adult,292054,6
weka.J48,covertype,292673,6
weka.J48,satimage,294172,5
weka.J48,waveform-5000,290090,10
weka.J48,satimage,294367,10
weka.J48,satimage,294139,6
weka.J48,satimage,294247,7
weka.J48,adult,292254,4
weka.J48,waveform-5000,289918,2
weka.J48,covertype,292441,2
weka.J48,kropt,293864,2
weka.J48,kropt,293920,6
weka.J48,waveform-5000,289947,10
weka.J48,waveform-5000,290160,7
weka.J48,satimage,294206,9
weka.J48,satimage,294294,7
weka.J48,covertype,292797,9
weka.J48,satimage,294398,9
weka.J48,waveform-5000,289972,3
weka.J48,covertype,292672,3
weka.J48,covertype,292774,8
weka.J48,satimage,294311,10
weka.J48,waveform-5000,290221,8
weka.J48,kropt,293935,4
weka.J48,kropt,293915,10
weka.J48,kropt,294110,3
weka.J48,kropt,293889,8
weka.J48,kropt,293932,5
weka.J48,adult,292288,8
weka.J48,waveform-5000,290177,2
weka.J48,kropt,293888,5
weka.J48,satimage,294263,10
weka.J48,kropt,294044,4
weka.J48,adult,292188,7
weka.J48,kropt,294007,7
weka.J48,kropt,293832,3
weka.J48,satimage,294468,2
weka.J48,satimage,294405,5
weka.J48,kropt,293985,9
weka.J48,waveform-5000,290103,3
weka.J48,waveform-5000,290073,8
weka.J48,adult,292092,8
weka.J48,satimage,294416,6
weka.J48,covertype,292565,4
weka.J48,covertype,292781,5
weka.J48,satimage,294205,5
weka.J48,covertype,292808,5
weka.J48,kropt,294011,5
weka.J48,kropt,293857,10
weka.J48,satimage,294381,10
weka.J48,kropt,293902,3
weka.J48,covertype,292640,8
weka.J48,kropt,294012,8
weka.J48,satimage,294408,8
weka.J48,adult,292299,9
weka.J48,adult,292197,2
weka.J48,covertype,292769,4
weka.J48,satimage,294450,2
weka.J48,adult,291980,8
weka.J48,waveform-5000,290130,5
weka.J48,kropt,293885,5
weka.J48,waveform-5000,290252,9
weka.J48,adult,292119,9
weka.J48,covertype,292666,9
weka.J48,adult,292210,2
weka.J48,covertype,292737,3
weka.J48,satimage,294373,3
weka.J48,satimage,294524,7
weka.J48,covertype,292700,4
weka.J48,adult,292315,3
weka.J48,waveform-5000,290256,2
weka.J48,adult,292277,2
weka.J48,adult,292290,7
weka.J48,covertype,292402,7
weka.J48,adult,292052,2
weka.J48,kropt,294084,2
weka.J48,waveform-5000,289909,3
weka.J48,adult,292294,3
weka.J48,kropt,293688,6
weka.J48,waveform-5000,290220,10
weka.J48,satimage,294376,10
weka.J48,kropt,293928,3
weka.J48,covertype,292735,5
weka.J48,kropt,293764,4
weka.J48,kropt,294085,4
weka.J48,satimage,294437,4
weka.J48,covertype,292745,5
weka.J48,kropt,293800,6
weka.J48,covertype,292760,4
weka.J48,kropt,293816,7
weka.J48,kropt,294099,2
weka.J48,covertype,292796,10
weka.J48,waveform-5000,289904,10
weka.J48,satimage,294397,2
weka.J48,kropt,294001,5
weka.J48,adult,292169,8
weka.J48,waveform-5000,290005,4
weka.J48,kropt,293711,4
weka.J48,adult,291977,2
weka.J48,satimage,294360,10
weka.J48,adult,292321,4
weka.J48,adult,292125,8
weka.J48,kropt,294097,9
weka.J48,kropt,293999,4
weka.J48,adult,292151,6
weka.J48,kropt,293835,6
weka.J48,satimage,294312,8
weka.J48,satimage,294412,3
weka.J48,waveform-5000,289895,6
weka.J48,kropt,293723,4
weka.J48,covertype,292424,7
weka.J48,kropt,293810,6
weka.J48,satimage,294357,6
weka.J48,waveform-5000,290108,10
weka.J48,covertype,292630,10
weka.J48,waveform-5000,290010,5
weka.J48,waveform-5000,290070,6
weka.J48,covertype,292426,6
weka.J48,covertype,292761,7
weka.J48,waveform-5000,289921,6
weka.J48,waveform-5000,290137,6
weka.J48,satimage,294230,6
weka.J48,waveform-5000,289915,6
weka.J48,kropt,293833,2
weka.J48,adult,292258,4
weka.J48,waveform-5000,290226,5
weka.J48,adult,291989,5
weka.J48,waveform-5000,290065,2
weka.J48,satimage,294410,6
weka.J48,satimage,294438,7
weka.J48,waveform-5000,290102,3
weka.J48,covertype,292559,5
weka.J48,waveform-5000,290260,4
weka.J48,adult,292204,4
weka.J48,satimage,294400,4
weka.J48,adult,292377,9
weka.J48,covertype,292661,9
weka.J48,kropt,293860,9
weka.J48,adult,292141,10
weka.J48,satimage,294190,5
weka.J48,waveform-5000,290233,9
weka.J48,adult,292390,10
weka.J48,satimage,294448,10
weka.J48,waveform-5000,289907,6
weka.J48,adult,292219,6
weka.J48,kropt,293927,6
weka.J48,satimage,294406,6
weka.J48,covertype,292670,5
weka.J48,adult,292126,4
weka.J48,kropt,293805,2
weka.J48,adult,292333,2
weka.J48,covertype,292790,9
weka.J48,satimage,294117,9
weka.J48,kropt,294042,6
weka.J48,adult,292330,5
weka.J48,waveform-5000,289841,7
weka.J48,adult,292344,2
weka.J48,waveform-5000,290054,7
weka.J48,adult,292286,7
weka.J48,kropt,293937,7
weka.J48,waveform-5000,290211,4
weka.J48,waveform-5000,289850,9
weka.J48,kropt,294015,9
weka.J48,waveform-5000,290176,5
weka.J48,waveform-5000,290191,9
weka.J48,adult,292343,9
weka.J48,waveform-5000,290251,9
weka.J48,kropt,293744,9
weka.J48,adult,292305,6
weka.J48,kropt,294045,3
weka.J48,kropt,293708,2
weka.J48,waveform-5000,290245,9
weka.J48,satimage,294218,7
weka.J48,adult,292120,4
weka.J48,kropt,293939,3
weka.J48,satimage,294111,3
weka.J48,waveform-5000,290222,7
weka.J48,kropt,293991,7
weka.J48,covertype,292447,6
weka.J48,kropt,293867,3
weka.J48,adult,292021,3
weka.J48,kropt,293843,3
weka.J48,satimage,294329,3
weka.J48,satimage,294508,2
weka.J48,kropt,293777,2
weka.J48,kropt,293982,7
weka.J48,adult,292275,7
weka.J48,waveform-5000,289830,9
weka.J48,kropt,293936,4
weka.J48,satimage,294515,4
weka.J48,covertype,292678,10
weka.J48,waveform-5000,290157,7
weka.J48,satimage,294246,3
weka.J48,satimage,294427,7
weka.J48,covertype,292702,4
weka.J48,kropt,294052,9
weka.J48,waveform-5000,290152,9
weka.J48,waveform-5000,290151,10
weka.J48,adult,292020,4
weka.J48,kropt,293952,4
weka.J48,kropt,293980,6
weka.J48,waveform-5000,289936,2
weka.J48,covertype,292748,2
weka.J48,satimage,294259,2
weka.J48,satimage,294318,10
weka.J48,covertype,292652,3
weka.J48,waveform-5000,290181,3
weka.J48,adult,292165,3
weka.J48,kropt,294048,3
weka.J48,waveform-5000,290232,8
weka.J48,covertype,292711,8
weka.J48,satimage,294188,8
weka.J48,covertype,292811,5
weka.J48,covertype,292659,10
weka.J48,kropt,294038,10
weka.J48,covertype,292704,7
weka.J48,kropt,293993,4
weka.J48,satimage,294520,10
weka.J48,covertype,292776,9
weka.J48,kropt,293914,9
weka.J48,satimage,294538,9
weka.J48,covertype,292478,10
weka.J48,waveform-5000,289865,9
weka.J48,waveform-5000,290057,10
weka.J48,covertype,292701,3
weka.J48,kropt,294037,10
weka.J48,adult,292373,10
weka.J48,covertype,292794,10
weka.J48,kropt,293819,10
weka.J48,covertype,292454,3
weka.J48,satimage,294423,3
weka.J48,waveform-5000,290084,5
weka.J48,covertype,292510,10
weka.J48,satimage,294269,2
weka.J48,kropt,293698,10
weka.J48,waveform-5000,290255,5
weka.J48,adult,292375,5
weka.J48,kropt,294059,5
weka.J48,satimage,294396,5
weka.J48,waveform-5000,290143,2
weka.J48,covertype,292475,3
weka.J48,adult,292010,10
weka.J48,satimage,294207,3
weka.J48,satimage,294391,5
weka.J48,covertype,292637,3
weka.J48,kropt,293970,3
weka.J48,satimage,294543,3
weka.J48,waveform-5000,290250,2
weka.J48,adult,292179,2
weka.J48,kropt,294008,2
weka.J48,adult,292272,2
weka.J48,adult,292059,8
weka.J48,covertype,292634,6
weka.J48,adult,292380,3
weka.J48,adult,291964,5
weka.J48,kropt,294036,5
weka.J48,satimage,294321,10
weka.J48,adult,292293,3
weka.J48,waveform-5000,289875,4
weka.J48,satimage,294251,9
weka.J48,satimage,294477,10
weka.J48,covertype,292738,7
weka.J48,waveform-5000,290095,6
weka.J48,adult,292292,10
weka.J48,covertype,292578,10
weka.J48,adult,292198,9
weka.J48,satimage,294342,9
weka.J48,adult,292044,8
weka.J48,kropt,293983,8
weka.J48,covertype,292730,6
weka.J48,covertype,292525,4
weka.J48,kropt,294019,4
weka.J48,waveform-5000,289981,10
weka.J48,covertype,292530,4
weka.J48,waveform-5000,290107,6
weka.J48,kropt,294021,3
weka.J48,adult,292336,2
weka.J48,adult,292266,4
weka.J48,covertype,292466,4
weka.J48,waveform-5000,290215,9
weka.J48,satimage,294459,9
weka.J48,waveform-5000,290209,3
weka.J48,covertype,292680,3
weka.J48,satimage,294434,4
weka.J48,adult,292236,3
weka.J48,adult,292328,10
weka.J48,adult,292364,3
weka.J48,adult,292334,7
weka.J48,covertype,292406,7
weka.J48,waveform-5000,289851,10
weka.J48,kropt,293807,7
weka.J48,covertype,292572,6
weka.J48,adult,292356,10
weka.J48,covertype,292740,10
weka.J48,waveform-5000,289987,5
weka.J48,waveform-5000,290111,4
weka.J48,adult,292268,3
weka.J48,covertype,292460,6
weka.J48,waveform-5000,290031,8
weka.J48,adult,292256,7
weka.J48,adult,292247,8
weka.J48,satimage,294505,2
weka.J48,covertype,292802,5
weka.J48,covertype,292642,6
weka.J48,kropt,293969,6
weka.J48,satimage,294463,6
weka.J48,adult,292103,9
weka.J48,satimage,294488,9
weka.J48,adult,292202,2
weka.J48,waveform-5000,290140,3
weka.J48,adult,292223,3
weka.J48,kropt,294000,3
weka.J48,adult,292279,4
weka.J48,satimage,294513,4
weka.J48,adult,292371,10
weka.J48,waveform-5000,290117,10
weka.J48,adult,292342,3
weka.J48,waveform-5000,289983,2
weka.J48,adult,292327,2
weka.J48,adult,291971,8
weka.J48,covertype,292589,2
weka.J48,waveform-5000,289889,7
weka.J48,adult,292323,4
weka.J48,covertype,292533,3
weka.J48,waveform-5000,290086,4
weka.J48,adult,292186,4
weka.J48,covertype,292793,4
weka.J48,satimage,294449,4
weka.J48,covertype,292657,7
weka.J48,satimage,294512,7
weka.J48,satimage,294203,8
weka.J48,covertype,292780,9
weka.J48,waveform-5000,290033,3
weka.J48,adult,292242,7
weka.J48,satimage,294250,4
weka.J48,waveform-5000,290174,6
weka.J48,waveform-5000,290022,9
weka.J48,adult,292351,2
weka.J48,covertype,292556,2
weka.J48,kropt,294100,3
weka.J48,adult,292332,10
weka.J48,satimage,294537,10
weka.J48,kropt,293950,2
weka.J48,satimage,294202,2
weka.J48,satimage,294502,4
weka.J48,kropt,294024,7
weka.J48,satimage,294201,7
weka.J48,kropt,294031,10
weka.J48,kropt,293865,6
weka.J48,covertype,292787,7
weka.J48,kropt,294090,7
weka.J48,waveform-5000,290248,5
weka.J48,kropt,293869,5
weka.J48,covertype,292438,2
weka.J48,kropt,293796,2
weka.J48,satimage,294399,2
weka.J48,adult,292340,4
weka.J48,covertype,292798,4
weka.J48,kropt,294049,4
weka.J48,satimage,294473,10
weka.J48,adult,292322,6
weka.J48,adult,292297,4
weka.J48,satimage,294265,4
weka.J48,waveform-5000,289910,6
weka.J48,adult,292370,6
weka.J48,kropt,293846,6
weka.J48,satimage,294282,4
weka.J48,waveform-5000,289973,7
weka.J48,covertype,292523,5
weka.J48,adult,292363,3
weka.J48,covertype,292750,8
weka.J48,satimage,294495,5
weka.J48,waveform-5000,290036,3
weka.J48,satimage,294305,3
weka.J48,waveform-5000,290207,5
weka.J48,waveform-5000,290122,9
weka.J48,kropt,293897,8
weka.J48,adult,292132,8
weka.J48,covertype,292442,6
weka.J48,satimage,294532,6
weka.J48,covertype,292400,3
weka.J48,kropt,293721,3
weka.J48,satimage,294352,3
weka.J48,waveform-5000,290043,3
weka.J48,kropt,293918,8
weka.J48,adult,292354,9
weka.J48,waveform-5000,289944,5
weka.J48,satimage,294347,5
weka.J48,adult,292105,4
weka.J48,satimage,294133,2
weka.J48,waveform-5000,290001,4
weka.J48,satimage,294479,3
weka.J48,waveform-5000,289873,9
weka.J48,adult,292389,6
weka.J48,covertype,292532,6
weka.J48,satimage,294549,6
weka.J48,waveform-5000,290000,6
weka.J48,kropt,294083,6
weka.J48,satimage,294364,6
weka.J48,waveform-5000,290034,3
weka.J48,adult,292369,2
weka.J48,kropt,293958,2
weka.J48,satimage,294331,7
weka.J48,kropt,293962,8
weka.J48,waveform-5000,290148,5
weka.J48,adult,292271,6
weka.J48,satimage,294363,6
weka.J48,adult,292368,8
weka.J48,satimage,294509,8
weka.J48,kropt,294092,2
weka.J48,adult,292083,8
weka.J48,waveform-5000,290042,10
weka.J48,covertype,292667,3
weka.J48,satimage,294445,8
weka.J48,letter,255713,8
weka.J48,adult,292209,8
weka.J48,letter,255714,4
weka.J48,letter,255715,10
weka.J48,letter,255717,4
weka.J48,waveform-5000,290129,4
weka.J48,adult,292372,4
weka.J48,letter,255718,8
weka.J48,letter,255720,6
weka.J48,letter,255726,3
weka.J48,letter,255733,7
weka.J48,letter,255746,2
weka.J48,letter,255750,4
weka.J48,covertype,292597,4
weka.J48,letter,255753,8
weka.J48,letter,255754,10
weka.J48,letter,255756,5
weka.J48,covertype,292606,5
weka.J48,kropt,294026,5
weka.J48,letter,255757,3
weka.J48,letter,255759,2
weka.J48,letter,255760,3
weka.J48,waveform-5000,290131,3
weka.J48,adult,292191,3
weka.J48,letter,255761,5
weka.J48,letter,255767,7
weka.J48,letter,255770,6
weka.J48,letter,255774,7
weka.J48,waveform-5000,289979,7
weka.J48,letter,255778,10
weka.J48,letter,255779,8
weka.J48,letter,255780,5
weka.J48,letter,255782,7
weka.J48,letter,255783,4
weka.J48,letter,255786,5
weka.J48,satimage,294433,5
weka.J48,letter,255789,4
weka.J48,covertype,292805,4
weka.J48,letter,255793,5
weka.J48,waveform-5000,290236,5
weka.J48,adult,292252,5
weka.J48,letter,255799,10
weka.J48,letter,255809,8
weka.J48,letter,255811,10
weka.J48,letter,255813,9
weka.J48,letter,255817,3
weka.J48,letter,255819,6
weka.J48,letter,255822,4
weka.J48,letter,255823,9
weka.J48,kropt,294013,9
weka.J48,letter,255825,3
weka.J48,kropt,293692,3
weka.J48,letter,255827,9
weka.J48,letter,255832,6
weka.J48,adult,292270,6
weka.J48,covertype,292717,6
weka.J48,letter,255840,9
weka.J48,letter,255843,8
weka.J48,letter,255846,8
weka.J48,letter,255849,6
weka.J48,letter,255850,4
weka.J48,letter,255856,6
weka.J48,adult,292224,6
weka.J48,letter,255858,10
weka.J48,letter,255861,10
weka.J48,letter,255862,2
weka.J48,letter,255867,10
weka.J48,letter,255870,5
weka.J48,letter,255874,8
weka.J48,letter,255876,9
weka.J48,letter,255879,10
weka.J48,letter,255884,2
weka.J48,letter,255887,2
weka.J48,letter,255892,3
weka.J48,covertype,292722,3
weka.J48,letter,255894,3
weka.J48,covertype,292612,3
weka.J48,letter,255895,5
weka.J48,covertype,292463,5
weka.J48,letter,255897,10
weka.J48,letter,255898,7
weka.J48,letter,255909,5
weka.J48,letter,255912,9
weka.J48,letter,255920,8
weka.J48,covertype,292437,8
weka.J48,letter,255922,8
weka.J48,letter,255929,9
weka.J48,letter,255932,3
weka.J48,letter,255933,7
weka.J48,letter,255935,10
weka.J48,letter,255938,8
weka.J48,letter,255941,7
weka.J48,letter,255942,7
weka.J48,letter,255944,7
weka.J48,covertype,292754,7
weka.J48,kropt,294060,7
weka.J48,letter,255951,3
weka.J48,letter,255952,6
weka.J48,letter,255964,2
weka.J48,letter,255966,7
weka.J48,letter,255972,3
weka.J48,satimage,294431,3
weka.J48,letter,255983,7
weka.J48,letter,255985,4
weka.J48,letter,255988,2
weka.J48,letter,255992,3
weka.J48,letter,255993,2
weka.J48,letter,255997,9
weka.J48,letter,256004,2
weka.J48,letter,256011,7
weka.J48,letter,256013,6
weka.J48,letter,256014,8
weka.J48,waveform-5000,290161,8
weka.J48,letter,256016,7
weka.J48,letter,256020,7
weka.J48,letter,256021,7
weka.J48,adult,292192,7
weka.J48,kropt,293730,7
weka.J48,letter,256023,7
weka.J48,letter,256027,10
weka.J48,waveform-5000,290237,10
weka.J48,letter,256029,6
weka.J48,letter,256033,4
weka.J48,letter,256035,5
weka.J48,letter,256037,7
weka.J48,letter,256039,9
weka.J48,letter,256044,4
weka.J48,letter,256046,8
weka.J48,letter,256047,7
weka.J48,letter,256059,7
weka.J48,letter,256061,2
weka.J48,letter,256064,3
weka.J48,letter,256066,4
weka.J48,letter,256067,10
weka.J48,letter,256069,4
weka.J48,letter,256076,9
weka.J48,letter,256080,4
weka.J48,waveform-5000,290134,4
weka.J48,letter,256082,3
weka.J48,adult,292131,3
weka.J48,kropt,294074,3
weka.J48,letter,256086,4
weka.J48,letter,256087,9
weka.J48,letter,256088,8
weka.J48,letter,256092,8
weka.J48,letter,256093,4
weka.J48,letter,256096,3
weka.J48,letter,256098,9
weka.J48,letter,256099,5
weka.J48,letter,256102,4
weka.J48,letter,256108,6
weka.J48,letter,256109,8
weka.J48,satimage,294349,8
weka.J48,letter,256110,10
weka.J48,waveform-5000,289864,10
weka.J48,covertype,292620,10
weka.J48,letter,256113,3
weka.J48,letter,256114,6
weka.J48,letter,256115,8
weka.J48,covertype,292573,8
weka.J48,kropt,294093,8
weka.J48,satimage,294314,8
weka.J48,letter,256116,5
weka.J48,letter,256117,2
weka.J48,letter,256119,9
weka.J48,letter,256125,10
weka.J48,letter,256128,3
weka.J48,waveform-5000,289920,3
weka.J48,satimage,294219,3
weka.J48,letter,256131,8
