% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 6 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {letter}
@attribute alg_name {weka.DecisionTable,weka.NNge,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.Decorate,weka.PART,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.RandomCommittee,weka.OrdinalClassClassifier,weka.LMT}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
letter,weka.OrdinalClassClassifier,149.69,3.05967e+08,2359,4.45312e+08,0.768
letter,weka.DecisionTable,36.91,8.11409e+07,424,3.17344e+08,0.7194
letter,weka.NNge,69.34,2.91983e+07,999.29,3.02944e+08,0.9143
letter,weka.DecisionStump,1.28,221416,121,2.98236e+08,0.0709
letter,weka.SMO,23.87,1.58657e+08,392,4.83656e+08,0.82375
letter,weka.MultilayerPerceptron,558.54,4.45134e+06,5854,2.9078e+08,0.82565
letter,weka.MultiBoostAB,0.93,583552,127,3.2034e+08,0.0709
letter,weka.ConjunctiveRule,1.61,2.30644e+07,123,2.83296e+08,0.07045
letter,weka.Stacking,0.37,114184,90,2.92412e+08,0.04065
letter,weka.J48,10.85,2.77593e+07,231,3.60096e+08,0.8804
letter,weka.Decorate,1072.6,3.54858e+08,22618,9.55704e+08,0.92175
letter,weka.PART,111.29,2.96808e+07,1151,3.6314e+08,0.88625
letter,weka.ZeroR,0.7,47936,96,2.65896e+08,0.04065
letter,weka.BayesNet,1.91,3.95361e+06,128,3.6116e+08,0.74425
letter,weka.SimpleLogistic,1836.29,3.26565e+08,20457,4.16304e+08,0.773
letter,weka.Logistic,338.79,8.77229e+07,3481,3.6364e+08,0.7739
letter,weka.StackingC,4.98,9.23844e+07,180,3.60908e+08,0.04065
letter,weka.AttributeSelectedClassifier,9.79,3.86416e+07,187,3.78052e+08,0.88045
letter,weka.MultiClassClassifier,51.42,1.13551e+08,614,3.78108e+08,0.7244
letter,weka.NaiveBayes,0.64,154752,98,2.63668e+08,0.6408
letter,weka.FilteredClassifier,2.93,4.1088e+07,173,3.67436e+08,0.7881
letter,weka.MultiScheme,0.46,158688,126,3.24732e+08,0.04065
letter,weka.NaiveBayesUpdateable,0.74,152960,130,3.04144e+08,0.6408
letter,weka.Vote,0.14,72416,84,2.50608e+08,0.04065
letter,weka.HyperPipes,0.7,62216,98,2.05432e+08,0.2223
letter,weka.NBTree,343.71,1.49037e+08,74180,9.59872e+08,0.8701
letter,weka.CVParameterSelection,0.19,57704,116,3.056e+08,0.04065
letter,weka.ClassificationViaRegression,132.2,3.09987e+08,2904,5.56472e+08,0.9117
letter,weka.LogitBoost,118.2,1.21162e+08,1256,3.82564e+08,0.73345
letter,weka.Bagging,15.97,1.12283e+08,354,3.96656e+08,0.8998
letter,weka.LMT,20319.8,8.34077e+08,184430,9.57252e+08,0.9233
letter,weka.IBk,0.1,608336,1271,3.61552e+08,0.959
letter,weka.NaiveBayesSimple,0.69,142992,126,2.31124e+08,0.64275
letter,weka.IB1,0.12,608232,1013,2.61108e+08,0.9585
letter,weka.OneR,0.93,119256,117,2.211e+08,0.1713
letter,weka.VFI,0.4,153864,112,2.2244e+08,0.61135
letter,weka.RacedIncrementalLogitBoost,43.97,8.73488e+07,533,3.6868e+08,0.70475
letter,weka.LWL,0.12,616000,18240,3.64076e+08,0.4215
letter,weka.RandomForest,15.37,1.98957e+08,262,5.81248e+08,0.9441
letter,weka.RandomTree,2.23,9.52743e+07,254,3.84072e+08,0.75725
letter,weka.REPTree,2.92,3.27314e+07,124,3.31704e+08,0.8408
letter,weka.JRip,334.55,4.12072e+08,3848,9.0798e+08,0.8647
letter,weka.AdaBoostM1,1.31,585824,118,2.2296e+08,0.0709
letter,weka.RandomCommittee,12.26,2.7879e+08,20144,9.61428e+08,0.9186
letter,weka.OrdinalClassClassifier,250.8,2.91893e+08,3046,4.31932e+08,0.76945
letter,weka.SMO,29.95,1.11373e+08,431,4.45524e+08,0.8234
letter,weka.SMO,29.14,1.11171e+08,420,4.41388e+08,0.8235
letter,weka.SMO,22.61,1.11256e+08,419,4.56736e+08,0.82355
letter,weka.SMO,26.93,1.11095e+08,427,5.0784e+08,0.82355
letter,weka.SMO,21.97,1.11126e+08,423,4.54408e+08,0.8235
letter,weka.SMO,21.97,1.11086e+08,386,4.5266e+08,0.82335
letter,weka.SMO,24.18,1.11072e+08,379,4.8878e+08,0.8235
letter,weka.SMO,24.2,1.11163e+08,389,5.1868e+08,0.8235
letter,weka.SMO,26.25,1.11166e+08,409,4.89484e+08,0.8235
letter,weka.SMO,21.65,1.11332e+08,386,4.4916e+08,0.8235
letter,weka.SMO,21.85,1.58659e+08,339,4.33876e+08,0.8237
letter,weka.SMO,21.53,1.11158e+08,385,4.77048e+08,0.82325
letter,weka.SMO,23.8,1.11076e+08,377,4.72844e+08,0.82335
letter,weka.SMO,25.71,1.11109e+08,421,4.98324e+08,0.82335
letter,weka.SMO,23.29,1.11167e+08,379,4.85252e+08,0.8235
letter,weka.SMO,28,1.1126e+08,428,4.5804e+08,0.8234
letter,weka.SMO,33.94,1.11129e+08,494,4.6124e+08,0.82355
letter,weka.SMO,27.23,1.58688e+08,448,4.44268e+08,0.82355
letter,weka.SMO,21.76,1.11087e+08,370,4.53148e+08,0.82335
letter,weka.SMO,23.86,1.11114e+08,383,4.66568e+08,0.82345
letter,weka.SMO,11.18,1.11267e+08,265,4.94148e+08,0.38745
letter,weka.SMO,12.17,1.11187e+08,271,4.99616e+08,0.6709
letter,weka.SMO,13.98,1.11138e+08,300,4.69584e+08,0.72905
letter,weka.SMO,18.4,1.11123e+08,371,4.80244e+08,0.8059
letter,weka.SMO,23.45,1.112e+08,376,4.55324e+08,0.8234
letter,weka.SMO,33.42,1.11126e+08,503,4.61488e+08,0.83595
letter,weka.SMO,34.82,1.1112e+08,538,4.91852e+08,0.8393
letter,weka.SMO,35.1,1.11145e+08,507,5.01708e+08,0.84295
letter,weka.SMO,35.72,1.11302e+08,498,4.65988e+08,0.84525
letter,weka.SMO,44.18,1.11066e+08,579,4.58644e+08,0.84975
letter,weka.SMO,52.65,2.99876e+08,647,4.70224e+08,0.85265
letter,weka.SMO,76.2,1.1113e+08,848,4.42928e+08,0.8523
letter,weka.SMO,76.61,2.99872e+08,881,4.84244e+08,0.85445
letter,weka.SMO,95.54,2.38683e+08,1047,4.2762e+08,0.8541
letter,weka.SMO,102.52,1.8273e+08,1093,4.52672e+08,0.85375
letter,weka.SMO,102.29,1.11204e+08,1119,4.35624e+08,0.85435
letter,weka.SMO,111.73,1.74742e+08,1160,4.39436e+08,0.8544
letter,weka.SMO,94.88,1.11188e+08,1013,4.5742e+08,0.85405
letter,weka.SMO,167.34,1.82543e+08,1711,4.56852e+08,0.85465
letter,weka.SMO,13.6,1.58704e+08,293,5.1016e+08,0.38475
letter,weka.SMO,10.36,1.11201e+08,276,4.77592e+08,0.38795
letter,weka.SMO,11.16,1.11159e+08,255,4.87592e+08,0.38675
letter,weka.SMO,10.95,1.11243e+08,260,4.70372e+08,0.3871
letter,weka.SMO,11.7,1.11176e+08,264,5.26808e+08,0.38555
letter,weka.SMO,10.88,1.11198e+08,252,4.65564e+08,0.3868
letter,weka.SMO,11.4,1.11151e+08,277,4.64252e+08,0.38705
letter,weka.SMO,13.7,1.11123e+08,274,4.74076e+08,0.3878
letter,weka.SMO,13.13,1.5879e+08,297,4.57444e+08,0.3862
letter,weka.SMO,14.44,1.58671e+08,319,4.55168e+08,0.3865
letter,weka.SMO,12.69,1.11147e+08,321,4.9482e+08,0.3861
letter,weka.SMO,12.23,1.58753e+08,288,4.68368e+08,0.3872
letter,weka.SMO,10.78,1.11211e+08,257,4.80292e+08,0.3855
letter,weka.SMO,11.2,1.1118e+08,258,4.75856e+08,0.3871
letter,weka.SMO,10.17,1.11225e+08,246,5.10792e+08,0.38675
letter,weka.SMO,14.5,1.5876e+08,306,4.40292e+08,0.3867
letter,weka.SMO,11.63,1.11172e+08,286,5.21304e+08,0.3859
letter,weka.SMO,12.32,1.11614e+08,249,4.64112e+08,0.38745
letter,weka.SMO,10.87,1.11233e+08,256,4.55284e+08,0.3857
letter,weka.SMO,10.52,1.58842e+08,290,4.6318e+08,0.38515
letter,weka.SMO,14.33,1.11259e+08,307,5.04976e+08,0.6711
letter,weka.SMO,17.79,1.11151e+08,402,4.89552e+08,0.6711
letter,weka.SMO,12.25,1.11169e+08,305,4.67552e+08,0.67085
letter,weka.SMO,12.51,1.11334e+08,268,4.17016e+08,0.6709
letter,weka.SMO,15.25,1.58708e+08,321,4.52464e+08,0.6708
letter,weka.SMO,12.13,1.58807e+08,277,4.41244e+08,0.67085
letter,weka.SMO,13.35,1.11157e+08,284,4.63996e+08,0.67105
letter,weka.SMO,11.93,1.11249e+08,315,5.02752e+08,0.67095
letter,weka.SMO,11.93,1.1113e+08,284,4.55456e+08,0.671
letter,weka.SMO,13.71,1.11137e+08,301,5.04196e+08,0.67115
letter,weka.SMO,13.74,1.11126e+08,308,4.70172e+08,0.671
letter,weka.SMO,14.1,1.11143e+08,294,5.33956e+08,0.6709
letter,weka.SMO,11.58,1.58814e+08,253,4.77256e+08,0.671
letter,weka.SMO,11.29,1.11295e+08,260,5.14992e+08,0.671
letter,weka.SMO,11.83,1.58752e+08,266,5.0252e+08,0.6711
letter,weka.SMO,14.25,1.11317e+08,299,4.8012e+08,0.67105
letter,weka.SMO,11.18,1.11177e+08,288,4.6714e+08,0.67105
letter,weka.SMO,12.31,1.11275e+08,250,4.88032e+08,0.671
letter,weka.SMO,12.72,1.11174e+08,272,4.56392e+08,0.6709
letter,weka.SMO,11.85,1.1117e+08,273,4.63092e+08,0.6709
letter,weka.SMO,13.23,1.11152e+08,303,4.58864e+08,0.7289
letter,weka.SMO,14.17,1.11175e+08,276,4.75e+08,0.72895
letter,weka.SMO,13.78,1.11153e+08,285,4.57636e+08,0.7288
letter,weka.SMO,13.54,1.11157e+08,274,4.76444e+08,0.72915
letter,weka.SMO,13.87,1.11185e+08,283,4.51076e+08,0.72905
letter,weka.SMO,13.42,1.11277e+08,281,5.16208e+08,0.7288
letter,weka.SMO,15.68,1.11199e+08,303,4.5904e+08,0.7291
letter,weka.SMO,13.32,1.11166e+08,306,5.12508e+08,0.7289
letter,weka.SMO,17.9,1.11163e+08,400,4.77716e+08,0.72915
letter,weka.SMO,12.89,1.58705e+08,267,4.66864e+08,0.729
letter,weka.SMO,16.33,1.11162e+08,320,4.77328e+08,0.72895
letter,weka.SMO,15.44,1.11421e+08,310,4.97824e+08,0.72885
letter,weka.SMO,15.77,1.58745e+08,299,4.53896e+08,0.72905
letter,weka.SMO,16.2,1.11274e+08,334,5.18912e+08,0.72915
letter,weka.SMO,14.1,1.11139e+08,270,4.9396e+08,0.72905
letter,weka.SMO,14.14,1.11166e+08,292,4.85752e+08,0.7291
letter,weka.SMO,19.39,1.11217e+08,411,5.22904e+08,0.72895
letter,weka.SMO,13,1.11176e+08,272,4.664e+08,0.72905
letter,weka.SMO,13.81,1.11158e+08,335,4.84476e+08,0.72905
letter,weka.SMO,13.57,1.1116e+08,286,4.73064e+08,0.72885
letter,weka.SMO,23.84,1.11182e+08,392,4.95236e+08,0.8062
letter,weka.SMO,18.89,1.11095e+08,340,4.81132e+08,0.8062
letter,weka.SMO,23.37,1.11145e+08,384,4.59484e+08,0.8061
letter,weka.SMO,24.87,1.58677e+08,405,4.69736e+08,0.8062
letter,weka.SMO,25.1,1.58677e+08,385,4.96692e+08,0.80585
letter,weka.SMO,23.45,1.11268e+08,385,5.10076e+08,0.80625
letter,weka.SMO,20.8,1.11152e+08,357,4.57016e+08,0.80605
letter,weka.SMO,19.4,1.11102e+08,365,4.56524e+08,0.8062
letter,weka.SMO,18.77,1.11094e+08,329,4.79768e+08,0.806
letter,weka.SMO,20.82,1.11111e+08,354,4.41084e+08,0.80605
letter,weka.SMO,19.54,1.11295e+08,331,4.65824e+08,0.806
letter,weka.SMO,19.54,1.11162e+08,339,4.73368e+08,0.8061
letter,weka.SMO,21.24,1.11184e+08,370,4.59764e+08,0.80595
letter,weka.SMO,22.78,1.11182e+08,380,4.97036e+08,0.80615
letter,weka.SMO,18.19,1.11159e+08,328,4.7388e+08,0.80605
letter,weka.SMO,20.41,1.11111e+08,350,4.49804e+08,0.8059
letter,weka.SMO,18.6,1.11182e+08,329,5.06684e+08,0.80645
letter,weka.SMO,18.66,1.11114e+08,355,4.767e+08,0.80605
letter,weka.SMO,24.14,1.5868e+08,401,4.65504e+08,0.80605
letter,weka.SMO,18.5,1.11093e+08,319,4.4596e+08,0.806
letter,weka.SMO,24.69,1.11093e+08,444,4.67528e+08,0.8234
letter,weka.SMO,22.94,1.11122e+08,374,4.52332e+08,0.8235
letter,weka.SMO,21.32,1.1108e+08,381,5.09108e+08,0.82355
letter,weka.SMO,23.8,1.1119e+08,375,4.91404e+08,0.82355
letter,weka.SMO,24.9,1.11127e+08,395,4.62844e+08,0.8235
letter,weka.SMO,29.1,1.11169e+08,454,4.85756e+08,0.82335
letter,weka.SMO,22.5,1.11105e+08,418,4.7882e+08,0.8235
letter,weka.SMO,24.22,1.11158e+08,397,4.49196e+08,0.8235
letter,weka.SMO,22.5,1.11154e+08,385,4.7618e+08,0.8235
letter,weka.SMO,29.68,1.1122e+08,440,4.6578e+08,0.8235
letter,weka.SMO,23.59,1.11124e+08,372,4.60152e+08,0.8237
letter,weka.SMO,25.9,1.11116e+08,400,4.9282e+08,0.82325
letter,weka.SMO,26.65,1.11098e+08,402,4.5694e+08,0.82335
letter,weka.SMO,25.64,1.1114e+08,423,4.55096e+08,0.82335
letter,weka.SMO,22.64,1.11124e+08,379,4.7302e+08,0.8235
letter,weka.SMO,27.16,1.11291e+08,426,4.56272e+08,0.8234
letter,weka.SMO,22.75,1.11114e+08,410,4.68252e+08,0.82355
letter,weka.SMO,23.21,1.11136e+08,374,4.59452e+08,0.82355
letter,weka.SMO,24.42,1.58645e+08,396,4.52572e+08,0.82335
letter,weka.SMO,27.59,1.11099e+08,398,4.17552e+08,0.82345
letter,weka.SMO,26.81,1.11098e+08,413,4.56608e+08,0.83585
letter,weka.SMO,31.1,1.11133e+08,457,4.45292e+08,0.8358
letter,weka.SMO,40.48,1.11159e+08,548,4.99852e+08,0.8358
letter,weka.SMO,27.9,1.11132e+08,439,4.53076e+08,0.83575
letter,weka.SMO,34.63,1.11085e+08,492,4.98348e+08,0.8357
letter,weka.SMO,33.53,1.11177e+08,486,4.76752e+08,0.83575
letter,weka.SMO,28.91,1.11127e+08,431,4.61468e+08,0.8356
letter,weka.SMO,30.27,1.11274e+08,425,5.11232e+08,0.8359
letter,weka.SMO,35.9,1.58658e+08,512,4.33212e+08,0.83575
letter,weka.SMO,28.21,1.11178e+08,430,4.4782e+08,0.8357
letter,weka.SMO,36.41,1.58681e+08,519,4.51008e+08,0.8357
letter,weka.SMO,32.84,2.99702e+08,486,4.962e+08,0.8358
letter,weka.SMO,34.99,1.11204e+08,499,4.30088e+08,0.8356
letter,weka.SMO,29.65,1.58658e+08,471,4.4466e+08,0.83555
letter,weka.SMO,29.3,1.11108e+08,468,4.62808e+08,0.83575
letter,weka.SMO,26.9,1.11249e+08,374,4.77312e+08,0.8357
letter,weka.SMO,30.82,1.11116e+08,465,4.82212e+08,0.8358
letter,weka.SMO,38.55,1.11106e+08,529,4.43916e+08,0.8357
letter,weka.SMO,31.95,1.11351e+08,506,4.97784e+08,0.83575
letter,weka.SMO,34.7,1.11152e+08,486,4.57268e+08,0.8359
letter,weka.SMO,28.5,1.11091e+08,413,4.48236e+08,0.83945
letter,weka.SMO,30.15,1.11179e+08,430,4.58452e+08,0.8393
letter,weka.SMO,28.57,1.11141e+08,465,4.54812e+08,0.8392
letter,weka.SMO,33.23,1.11136e+08,463,4.71136e+08,0.83925
letter,weka.SMO,33.26,1.11136e+08,502,4.72684e+08,0.83945
letter,weka.SMO,27.94,1.58619e+08,388,4.6234e+08,0.8395
letter,weka.SMO,35.92,1.11209e+08,519,4.76432e+08,0.8393
letter,weka.SMO,34.4,1.11197e+08,524,4.88196e+08,0.83935
letter,weka.SMO,27.37,1.58613e+08,396,4.56e+08,0.83935
letter,weka.SMO,35.84,1.11241e+08,497,4.62716e+08,0.83925
letter,weka.SMO,30.91,1.11257e+08,432,4.5834e+08,0.8396
letter,weka.SMO,30.45,1.58759e+08,448,4.33408e+08,0.8394
letter,weka.SMO,31.9,1.11107e+08,482,4.90676e+08,0.83945
letter,weka.SMO,30.61,1.11151e+08,460,4.63444e+08,0.83925
letter,weka.SMO,28.9,1.1112e+08,453,4.4418e+08,0.83935
letter,weka.SMO,31.45,1.11176e+08,439,4.53612e+08,0.83935
letter,weka.SMO,32.49,1.11096e+08,476,4.56884e+08,0.8394
letter,weka.SMO,31.32,1.11264e+08,438,4.5938e+08,0.8396
letter,weka.SMO,28.45,1.11081e+08,436,4.49964e+08,0.83935
letter,weka.SMO,37.37,1.58789e+08,523,4.66308e+08,0.83945
letter,weka.SMO,34.42,1.11058e+08,567,4.74064e+08,0.8429
letter,weka.SMO,34.64,1.11119e+08,548,4.7898e+08,0.8429
letter,weka.SMO,33.96,1.11092e+08,484,4.46124e+08,0.84295
letter,weka.SMO,43.51,1.58665e+08,577,4.35928e+08,0.843
letter,weka.SMO,33.31,1.58779e+08,485,4.68288e+08,0.8431
letter,weka.SMO,34.42,1.11119e+08,539,4.59236e+08,0.84315
letter,weka.SMO,36.73,1.11123e+08,492,4.54896e+08,0.84295
letter,weka.SMO,34.31,1.11136e+08,491,4.59272e+08,0.8429
letter,weka.SMO,45.52,1.11079e+08,594,4.78068e+08,0.8431
letter,weka.SMO,42.59,1.74686e+08,576,4.80504e+08,0.84305
letter,weka.SMO,36.63,1.11145e+08,504,4.55144e+08,0.84285
letter,weka.SMO,39.72,1.11108e+08,511,4.81172e+08,0.84305
letter,weka.SMO,39.49,1.66725e+08,510,5.21972e+08,0.84315
letter,weka.SMO,41.94,1.11111e+08,608,5.04244e+08,0.84295
letter,weka.SMO,39.89,1.11206e+08,558,5.21456e+08,0.84305
letter,weka.SMO,46.92,3.00343e+08,606,5.3442e+08,0.84315
letter,weka.SMO,38.61,1.58774e+08,503,4.44656e+08,0.84305
letter,weka.SMO,37.6,1.11101e+08,508,4.732e+08,0.8429
letter,weka.SMO,43.33,1.5865e+08,578,4.37432e+08,0.8429
letter,weka.SMO,37.4,1.11099e+08,524,4.4674e+08,0.8432
letter,weka.SMO,40.72,1.1114e+08,557,4.92224e+08,0.8453
letter,weka.SMO,34.27,1.11132e+08,534,4.46488e+08,0.8452
letter,weka.SMO,33.11,1.11108e+08,482,4.363e+08,0.8451
letter,weka.SMO,39.7,1.1114e+08,497,4.41888e+08,0.84515
letter,weka.SMO,37.18,1.11123e+08,459,4.52388e+08,0.8452
letter,weka.SMO,33.82,1.11144e+08,487,5.13616e+08,0.84525
letter,weka.SMO,38.89,1.32461e+08,414.62,4.65252e+08,0.84525
letter,weka.SMO,40.76,1.11078e+08,555,4.82624e+08,0.84515
letter,weka.SMO,35.85,1.11196e+08,473,4.53484e+08,0.84515
letter,weka.SMO,33.4,1.11085e+08,503,4.4706e+08,0.8454
letter,weka.SMO,37.61,1.1112e+08,547,4.85424e+08,0.8452
letter,weka.SMO,34.42,1.1112e+08,510,4.51748e+08,0.8453
letter,weka.SMO,33.29,1.11081e+08,464,4.6222e+08,0.84535
letter,weka.SMO,33.62,1.11113e+08,489,4.87264e+08,0.8452
letter,weka.SMO,35.3,1.58647e+08,515,4.84612e+08,0.8453
letter,weka.SMO,32.63,1.11124e+08,462,4.42796e+08,0.84535
letter,weka.SMO,37.5,1.11069e+08,503,4.46264e+08,0.84545
letter,weka.SMO,32.23,1.11118e+08,521,4.36152e+08,0.84505
letter,weka.SMO,36.23,1.11451e+08,499,4.76656e+08,0.8451
letter,weka.SMO,35.33,1.11242e+08,480,4.79676e+08,0.84525
letter,weka.SMO,40.2,1.10992e+08,523,4.50272e+08,0.84965
letter,weka.SMO,44.59,1.1118e+08,587,4.74324e+08,0.8496
letter,weka.SMO,44.47,1.11057e+08,606,4.46724e+08,0.8496
letter,weka.SMO,46.55,1.1112e+08,596,5.00276e+08,0.84965
letter,weka.SMO,46.36,1.11287e+08,575,4.56288e+08,0.84985
letter,weka.SMO,58.67,1.11159e+08,759,4.48124e+08,0.84955
letter,weka.SMO,41.46,1.11075e+08,564,4.597e+08,0.8496
letter,weka.SMO,47.73,1.11087e+08,590,4.47044e+08,0.84985
letter,weka.SMO,44.34,1.11215e+08,577,4.46476e+08,0.84965
letter,weka.SMO,42.26,1.11085e+08,560,4.99316e+08,0.8497
letter,weka.SMO,41.55,2.9986e+08,588,4.94836e+08,0.8497
letter,weka.SMO,44.75,1.11102e+08,574,4.3388e+08,0.8497
letter,weka.SMO,44.29,1.11168e+08,580,4.38348e+08,0.8495
letter,weka.SMO,41.82,1.11113e+08,595,4.39548e+08,0.8495
letter,weka.SMO,41.15,1.11096e+08,569,4.84888e+08,0.84965
letter,weka.SMO,44.97,1.10988e+08,579,4.38104e+08,0.84955
letter,weka.SMO,44.86,1.11115e+08,572,4.29652e+08,0.8496
letter,weka.SMO,47.9,1.11117e+08,566,4.4916e+08,0.8497
letter,weka.SMO,45.1,1.11175e+08,585,4.57344e+08,0.8498
letter,weka.SMO,42.2,1.11102e+08,591,4.61088e+08,0.8496
letter,weka.SMO,56.2,1.11202e+08,680,4.44348e+08,0.8528
letter,weka.SMO,54.56,1.11257e+08,614,4.4398e+08,0.85285
